SampleID	place	p_class	Eriophyoidea_family	geographic_emarcation	longitude	latitude	heigh	bio12	bio15	bio18	bio2	bio3	bio8	plant	Relationship	Group	Zoogeographical
FJ78_1	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	118.12	26.6978	320	1798	59	619	85	31	213	72	Dicotyledoneae_Eriophyidae	DED	Central China
FJ78_2	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	118.12	26.6978	320	1798	59	619	85	31	213	72	Dicotyledoneae_Eriophyidae	DED	Central China
FJ78_3	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	118.12	26.6978	320	1798	59	619	85	31	213	72	Dicotyledoneae_Eriophyidae	DED	Central China
FJ78_4	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	118.12	26.6978	320	1798	59	619	85	31	213	72	Dicotyledoneae_Eriophyidae	DED	Central China
FJ78_5	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	118.12	26.6978	320	1798	59	619	85	31	213	72	Dicotyledoneae_Eriophyidae	DED	Central China
FJ88_2	FJ	Monocotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.7439	24.5006	200	1439	59	498	64	28	263	2	Monocotyledoneae_Eriophyidae	MED	South China
FJ88_3	FJ	Monocotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.7439	24.5006	200	1439	59	498	64	28	263	2	Monocotyledoneae_Eriophyidae	MED	South China
FJ88_5	FJ	Monocotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.7439	24.5006	200	1439	59	498	64	28	263	2	Monocotyledoneae_Eriophyidae	MED	South China
FJ96_1	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.7439	24.5006	200	1439	59	498	64	28	263	2	Dicotyledoneae_Eriophyidae	DED	South China
FJ96_2	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.7439	24.5006	200	1439	59	498	64	28	263	2	Dicotyledoneae_Eriophyidae	DED	South China
